prefix,vendor
FCFBFB,Apple, Inc.
A4C138,Google, Inc.
DCA632,Raspberry Pi Trading Ltd
B827EB,Raspberry Pi Foundation
E45F01,Raspberry Pi Trading Ltd
D83ADD,Raspberry Pi Trading Ltd
2CCF67,Raspberry Pi (Trading) Ltd
001A11,Google, Inc.
F0D1A9,Apple, Inc.
3C0754,Apple, Inc.
001D0F,TP-LINK TECHNOLOGIES CO.,LTD.
50C7BF,TP-LINK TECHNOLOGIES CO.,LTD.
D46E0E,TP-LINK TECHNOLOGIES CO.,LTD.
001788,Philips Lighting BV
0017880,Signify (Philips Hue)
ECFABC,Espressif Inc.
A020A6,Espressif Inc.
2462AB,Espressif Inc.
8CAAB5,Espressif Inc.
DC4F22,Espressif Inc.
B0BE83,Amazon Technologies Inc.
44650D,Amazon Technologies Inc.
F0272D,Amazon Technologies Inc.
0C47C9,Amazon Technologies Inc.
001132,Synology Incorporated
0011D8,ASUSTek COMPUTER INC.
D850E6,ASUSTek COMPUTER INC.
2C4D54,ASUSTek COMPUTER INC.
5CE28C,Xiaomi Communications Co Ltd
286C07,Xiaomi Communications Co Ltd
64B473,Xiaomi Communications Co Ltd
F8E71E,Ring LLC
